rate_type,clade_1,clade_2,mut_rate_distance,is_Omicron
rates,20A,20B,0.12277,not Omicron
no_GtoT_rates,20A,20B,0.1356,not Omicron
clr_rates,20A,20B,0.45761,not Omicron
rates,20A,20C,0.1054,not Omicron
no_GtoT_rates,20A,20C,0.07193,not Omicron
clr_rates,20A,20C,0.98075,not Omicron
rates,20A,20E,0.50519,not Omicron
no_GtoT_rates,20A,20E,0.17589,not Omicron
clr_rates,20A,20E,0.76788,not Omicron
rates,20A,20G,0.38659,not Omicron
no_GtoT_rates,20A,20G,0.20586,not Omicron
clr_rates,20A,20G,1.1318,not Omicron
rates,20A,20I,0.34475,not Omicron
no_GtoT_rates,20A,20I,0.15055,not Omicron
clr_rates,20A,20I,0.94853,not Omicron
rates,20A,21C,0.40644,not Omicron
no_GtoT_rates,20A,21C,0.14943,not Omicron
clr_rates,20A,21C,0.86168,not Omicron
rates,20A,21I,0.29713,not Omicron
no_GtoT_rates,20A,21I,0.35396,not Omicron
clr_rates,20A,21I,0.48555,not Omicron
rates,20A,21J,0.32344,not Omicron
no_GtoT_rates,20A,21J,0.37481,not Omicron
clr_rates,20A,21J,0.59599,not Omicron
rates,20A,21K,1.3242,mixed
no_GtoT_rates,20A,21K,0.3415,mixed
clr_rates,20A,21K,1.1288,mixed
rates,20A,21L,1.189,mixed
no_GtoT_rates,20A,21L,0.19092,mixed
clr_rates,20A,21L,0.97729,mixed
rates,20A,22A,1.1074,mixed
no_GtoT_rates,20A,22A,0.20805,mixed
clr_rates,20A,22A,1.3442,mixed
rates,20A,22B,1.0389,mixed
no_GtoT_rates,20A,22B,0.30914,mixed
clr_rates,20A,22B,1.2045,mixed
rates,20A,22C,1.1014,mixed
no_GtoT_rates,20A,22C,0.19969,mixed
clr_rates,20A,22C,1.2351,mixed
rates,20B,20C,0.19805,not Omicron
no_GtoT_rates,20B,20C,0.17377,not Omicron
clr_rates,20B,20C,0.79183,not Omicron
rates,20B,20E,0.53664,not Omicron
no_GtoT_rates,20B,20E,0.096108,not Omicron
clr_rates,20B,20E,0.84391,not Omicron
rates,20B,20G,0.40968,not Omicron
no_GtoT_rates,20B,20G,0.13197,not Omicron
clr_rates,20B,20G,0.91447,not Omicron
rates,20B,20I,0.37736,not Omicron
no_GtoT_rates,20B,20I,0.096544,not Omicron
clr_rates,20B,20I,1.0131,not Omicron
rates,20B,21C,0.43872,not Omicron
no_GtoT_rates,20B,21C,0.071499,not Omicron
clr_rates,20B,21C,0.6552,not Omicron
rates,20B,21I,0.40133,not Omicron
no_GtoT_rates,20B,21I,0.47498,not Omicron
clr_rates,20B,21I,0.51824,not Omicron
rates,20B,21J,0.42907,not Omicron
no_GtoT_rates,20B,21J,0.49147,not Omicron
clr_rates,20B,21J,0.76147,not Omicron
rates,20B,21K,1.3961,mixed
no_GtoT_rates,20B,21K,0.45639,mixed
clr_rates,20B,21K,1.1318,mixed
rates,20B,21L,1.2527,mixed
no_GtoT_rates,20B,21L,0.29968,mixed
clr_rates,20B,21L,1.0549,mixed
rates,20B,22A,1.1734,mixed
no_GtoT_rates,20B,22A,0.31642,mixed
clr_rates,20B,22A,1.1337,mixed
rates,20B,22B,1.116,mixed
no_GtoT_rates,20B,22B,0.43039,mixed
clr_rates,20B,22B,1.0255,mixed
rates,20B,22C,1.1665,mixed
no_GtoT_rates,20B,22C,0.30679,mixed
clr_rates,20B,22C,1.0342,mixed
rates,20C,20E,0.43646,not Omicron
no_GtoT_rates,20C,20E,0.2129,not Omicron
clr_rates,20C,20E,1.4638,not Omicron
rates,20C,20G,0.3189,not Omicron
no_GtoT_rates,20C,20G,0.21968,not Omicron
clr_rates,20C,20G,0.39947,not Omicron
rates,20C,20I,0.28682,not Omicron
no_GtoT_rates,20C,20I,0.19406,not Omicron
clr_rates,20C,20I,1.7152,not Omicron
rates,20C,21C,0.33354,not Omicron
no_GtoT_rates,20C,21C,0.17081,not Omicron
clr_rates,20C,21C,0.6308,not Omicron
rates,20C,21I,0.28225,not Omicron
no_GtoT_rates,20C,21I,0.32393,not Omicron
clr_rates,20C,21I,0.96091,not Omicron
rates,20C,21J,0.29702,not Omicron
no_GtoT_rates,20C,21J,0.35268,not Omicron
clr_rates,20C,21J,1.3225,not Omicron
rates,20C,21K,1.2357,mixed
no_GtoT_rates,20C,21K,0.31691,mixed
clr_rates,20C,21K,1.2488,mixed
rates,20C,21L,1.1016,mixed
no_GtoT_rates,20C,21L,0.17202,mixed
clr_rates,20C,21L,1.4641,mixed
rates,20C,22A,1.0157,mixed
no_GtoT_rates,20C,22A,0.15696,mixed
clr_rates,20C,22A,0.83932,mixed
rates,20C,22B,0.94639,mixed
no_GtoT_rates,20C,22B,0.26626,mixed
clr_rates,20C,22B,0.71664,mixed
rates,20C,22C,1.0116,mixed
no_GtoT_rates,20C,22C,0.16229,mixed
clr_rates,20C,22C,0.73504,mixed
rates,20E,20G,0.21463,not Omicron
no_GtoT_rates,20E,20G,0.19359,not Omicron
clr_rates,20E,20G,1.4799,not Omicron
rates,20E,20I,0.17277,not Omicron
no_GtoT_rates,20E,20I,0.069071,not Omicron
clr_rates,20E,20I,0.38032,not Omicron
rates,20E,21C,0.14848,not Omicron
no_GtoT_rates,20E,21C,0.13063,not Omicron
clr_rates,20E,21C,1.056,not Omicron
rates,20E,21I,0.62215,not Omicron
no_GtoT_rates,20E,21I,0.47659,not Omicron
clr_rates,20E,21I,0.7868,not Omicron
rates,20E,21J,0.58245,not Omicron
no_GtoT_rates,20E,21J,0.48705,not Omicron
clr_rates,20E,21J,0.61868,not Omicron
rates,20E,21K,0.90551,mixed
no_GtoT_rates,20E,21K,0.45906,mixed
clr_rates,20E,21K,1.0378,mixed
rates,20E,21L,0.74486,mixed
no_GtoT_rates,20E,21L,0.30097,mixed
clr_rates,20E,21L,0.71728,mixed
rates,20E,22A,0.68508,mixed
no_GtoT_rates,20E,22A,0.34902,mixed
clr_rates,20E,22A,1.4693,mixed
rates,20E,22B,0.6649,mixed
no_GtoT_rates,20E,22B,0.4646,mixed
clr_rates,20E,22B,1.4583,mixed
rates,20E,22C,0.66761,mixed
no_GtoT_rates,20E,22C,0.31699,mixed
clr_rates,20E,22C,1.4131,mixed
rates,20G,20I,0.15612,not Omicron
no_GtoT_rates,20G,20I,0.18026,not Omicron
clr_rates,20G,20I,1.7577,not Omicron
rates,20G,21C,0.084621,not Omicron
no_GtoT_rates,20G,21C,0.088383,not Omicron
clr_rates,20G,21C,0.48556,not Omicron
rates,20G,21I,0.5646,not Omicron
no_GtoT_rates,20G,21I,0.53917,not Omicron
clr_rates,20G,21I,1.0933,not Omicron
rates,20G,21J,0.54944,not Omicron
no_GtoT_rates,20G,21J,0.56546,not Omicron
clr_rates,20G,21J,1.437,not Omicron
rates,20G,21K,1.0505,mixed
no_GtoT_rates,20G,21K,0.52469,mixed
clr_rates,20G,21K,1.2348,mixed
rates,20G,21L,0.89319,mixed
no_GtoT_rates,20G,21L,0.374,mixed
clr_rates,20G,21L,1.5211,mixed
rates,20G,22A,0.80011,mixed
no_GtoT_rates,20G,22A,0.32896,mixed
clr_rates,20G,22A,0.75529,mixed
rates,20G,22B,0.76436,mixed
no_GtoT_rates,20G,22B,0.4458,mixed
clr_rates,20G,22B,0.76224,mixed
rates,20G,22C,0.8086,mixed
no_GtoT_rates,20G,22C,0.36998,mixed
clr_rates,20G,22C,0.72416,mixed
rates,20I,21C,0.12279,not Omicron
no_GtoT_rates,20I,21C,0.1197,not Omicron
clr_rates,20I,21C,1.3297,not Omicron
rates,20I,21I,0.49799,not Omicron
no_GtoT_rates,20I,21I,0.46121,not Omicron
clr_rates,20I,21I,0.95944,not Omicron
rates,20I,21J,0.46982,not Omicron
no_GtoT_rates,20I,21J,0.47239,not Omicron
clr_rates,20I,21J,0.71086,not Omicron
rates,20I,21K,1.0466,mixed
no_GtoT_rates,20I,21K,0.44497,mixed
clr_rates,20I,21K,1.2684,mixed
rates,20I,21L,0.8923,mixed
no_GtoT_rates,20I,21L,0.28157,mixed
clr_rates,20I,21L,0.83087,mixed
rates,20I,22A,0.82315,mixed
no_GtoT_rates,20I,22A,0.32186,mixed
clr_rates,20I,22A,1.7232,mixed
rates,20I,22B,0.78318,mixed
no_GtoT_rates,20I,22B,0.4341,mixed
clr_rates,20I,22B,1.6887,mixed
rates,20I,22C,0.81371,mixed
no_GtoT_rates,20I,22C,0.30721,mixed
clr_rates,20I,22C,1.6753,mixed
rates,21C,21I,0.55387,not Omicron
no_GtoT_rates,21C,21I,0.48092,not Omicron
clr_rates,21C,21I,0.80188,not Omicron
rates,21C,21J,0.52738,not Omicron
no_GtoT_rates,21C,21J,0.50114,not Omicron
clr_rates,21C,21J,1.0891,not Omicron
rates,21C,21K,0.99092,mixed
no_GtoT_rates,21C,21K,0.45977,mixed
